id,cover,genres,name,rating,cover_big,has_cars
6952,//images.igdb.com/igdb/image/upload/t_thumb/slh9ponafsmhcupr5jsq.jpg,"['Shooter', 'Adventure']",Damnation,5,//images.igdb.com/igdb/image/upload/t_cover_big/slh9ponafsmhcupr5jsq.jpg,False
6958,//images.igdb.com/igdb/image/upload/t_thumb/co28oa.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Dante's Inferno,5,//images.igdb.com/igdb/image/upload/t_cover_big/co28oa.jpg,False
6959,//images.igdb.com/igdb/image/upload/t_thumb/co1qk3.jpg,['Shooter'],Dark Sector,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1qk3.jpg,False
6960,//images.igdb.com/igdb/image/upload/t_thumb/far4kqi9a9psgcnlcsme.jpg,['Shooter'],Dead to Rights: Retribution,5,//images.igdb.com/igdb/image/upload/t_cover_big/far4kqi9a9psgcnlcsme.jpg,False
6968,//images.igdb.com/igdb/image/upload/t_thumb/co1o4p.jpg,['Shooter'],DOOM 3: BFG Edition,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1o4p.jpg,False
6995,//images.igdb.com/igdb/image/upload/t_thumb/mlosbdyilmflon9j2fqj.jpg,"['Fighting', ""Hack and slash/Beat 'em up""]",Fist of the North Star: Ken's Rage,5,//images.igdb.com/igdb/image/upload/t_cover_big/mlosbdyilmflon9j2fqj.jpg,False
7001,//images.igdb.com/igdb/image/upload/t_thumb/y3c9apjwkweg1iljusqp.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Golden Axe: Beast Rider,5,//images.igdb.com/igdb/image/upload/t_cover_big/y3c9apjwkweg1iljusqp.jpg,False
7020,//images.igdb.com/igdb/image/upload/t_thumb/co28gf.jpg,['Shooter'],Inversion,5,//images.igdb.com/igdb/image/upload/t_cover_big/co28gf.jpg,False
7032,//images.igdb.com/igdb/image/upload/t_thumb/k96sllo1kdmbvpv8lisq.jpg,['Shooter'],Kane & Lynch: Dead Men,5,//images.igdb.com/igdb/image/upload/t_cover_big/k96sllo1kdmbvpv8lisq.jpg,False
7039,//images.igdb.com/igdb/image/upload/t_thumb/gwrjmuokg2ksme9lgxpv.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Knights Contract,5,//images.igdb.com/igdb/image/upload/t_cover_big/gwrjmuokg2ksme9lgxpv.jpg,False
